question,answer,passage,id
is there a now you see me 3 coming out,True,"Now You See Me is a series of heist thriller film written by Ed Solomon, Boaz Yakin, and Edward Ricourt. They focus on the actions of a team of illusionists named ``The Four Horsemen'' who pull off near impossible heists. The series features an ensemble cast including Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Isla Fisher, Dave Franco, Michael Caine, Lizzy Caplan, and Morgan Freeman. The first film was released in 2013, while the second was released in 2016, and a third film is currently in development and set to be released in 2019. The series has received mixed reviews from critics and audiences and grossed nearly $700 million worldwide.",15
does a penalty shoot out goal count towards the golden boot,False,"A shoot-out is usually considered for statistical purposes to be separate from the match which preceded it. In the case of a two-legged fixture, the two matches are still considered either as two draws or as one win and one loss; in the case of a single match, it is still considered as a draw. This contrasts with a fixture won in extra time, where the score at the end of normal time is superseded. Converted shoot-out penalties are not considered as goals scored by a player for the purposes of their individual records, or for ``golden boot'' competitions.",16
will there be a new season of cutthroat kitchen,False,"Cutthroat Kitchen is a cooking show hosted by Alton Brown that aired on the Food Network from August 11, 2013 to July 19, 2017. It features four chefs competing in a three-round elimination cooking competition. The contestants face auctions in which they can purchase opportunities to sabotage one another. Each chef is given $25,000 at the start of the show; the person left standing keeps whatever money they have not spent in the auctions. The show ended on its fifteenth season in July 2017. The series shares some basic elements with other four-chef, three-round elimination-style competitions on Food Network including Chopped and Guy's Grocery Games. Numerous Cutthroat Kitchen contestants have competed on these shows.",17
is jack sikma in the hall of fame,True,"In 2006, Sikma was voted as one of the 100 Legends of the IHSA Boys Basketball Tournament, a group of former players and coaches in honor of the 100 anniversary of the IHSA boys basketball tournament. On June 27, 2017, Sikma was inducted into the Small College Basketball Hall of Fame as part of their second class . Inducted alongside Sikma were Zelmo Beaty, Walt Frazier, Bob Love, Elmore Smith, Jim Spivey, Rico Swanson, George Tinsley, and Al Tucker.",18
can elves and humans mate lord of the rings,True,"In J.R.R. Tolkien's fictional universe of Middle-earth, the Half-elven (Sindarin singular Peredhel, plural Peredhil, Quenya singular Perelda) are the children of the union of Elves and Men. Of these, the most significant were the products of couplings between the Eldar (the Elves who followed the Call to Valinor) and the Edain (the Men of the Three Houses of early Men who allied themselves with the Eldar in their war against Morgoth).",19
the boy in the plastic bubble based on true story,True,"The Boy in the Plastic Bubble is a 1976 American made-for-television drama film inspired by the lives of David Vetter and Ted DeVita, who lacked effective immune systems. It stars John Travolta, Glynnis O'Connor, Diana Hyland, Robert Reed, Ralph Bellamy & P.J. Soles. It was written by Douglas Day Stewart, executive produced by Aaron Spelling and Leonard Goldberg (who, at the time, produced Starsky and Hutch and Charlie's Angels), and directed by Randal Kleiser, who would work with Travolta again in Grease shortly after. The original music score was composed by Mark Snow. The theme song ``What Would They Say'' was written and sung by Paul Williams. William Howard Taft High School in Woodland Hills was used for filming.",20
science begins with the premise that knowledge should first be acquired through observation,True,"These terms are used with respect to reasoning (epistemology) to distinguish ``necessary conclusions from first premises'' (i.e., what must come before sense observation) from ``conclusions based on sense observation'' (which must follow it). Thus, the two kinds of knowledge, justification, or argument, may be glossed:",21
is tim brown in the hall of fame,True,"Timothy Donell Brown (born July 22, 1966) is a former American football wide receiver who played professionally in the National Football League (NFL). He played college football for Notre Dame, where he won the Heisman Trophy, becoming the first wide receiver to win the award. He spent sixteen years with the Los Angeles/Oakland Raiders, during which he established himself as one of the NFL's most prolific wide receivers. Brown has also played for the Tampa Bay Buccaneers. In 2015, he was inducted into the Pro Football Hall of Fame.",22
can you drink alcohol in public in denmark,True,Drinking in public in Denmark is legal in general. The law forbids ``disturbing of the public law and order''. Thus general consumption is accepted. Several cafes have outdoor serving in the same zones.,23
is jersey currency legal tender in the uk,False,"Both Jersey and Bank of England notes are legal tender in Jersey and circulate together, alongside the Guernsey pound and Scottish banknotes. The Jersey notes are not legal tender in the United Kingdom but are legal currency, so creditors and traders may accept them if they so choose.",24
have the milwaukee bucks ever won a championship,True,"The Bucks have won one league title (1971), two conference titles (1971 and 1974), and 13 division titles (1971--1974, 1976, 1980--1986, 2001). They have featured such notable players as Kareem Abdul-Jabbar, Sidney Moncrief, Oscar Robertson, Bob Dandridge, Bob Lanier, Glenn Robinson, Ray Allen, Sam Cassell, Junior Bridgeman, Michael Redd, Terry Cummings, Vin Baker, Jon McGlocklin, Marques Johnson, and Brian Winters.",25
does the world cup final go to penalties,True,"This is a list of all penalty shoot-outs that have occurred in the Finals tournament of the FIFA World Cup. Penalty shoot-outs were introduced as tie-breakers in the 1978 World Cup but did not occur before 1982. The first time a World Cup title was won by penalty shoot-out was in 1994. The only other time was in 2006. By the end of the 2018 edition, 30 shoot-outs have taken place in the World Cup. Of these, only two reached the sudden death stage after still being tied at the end of ``best of five kicks''.",26
is kingdom manga based on a true story,True,"Kingdom (キングダム, Kingudamu) is a Japanese manga series written and illustrated by Yasuhisa Hara (原泰久, Hara Yasuhisa). The manga provides a fictionalized account of the Warring States period primarily through the experiences of the war orphan Xin and his comrades as he fights to become the greatest general under the heavens, and in doing so, unifying China for the first time in history. The series was adapted into a thirty-eight episode anime series by studio Pierrot that aired from June 4, 2012 to February 25, 2013. A second season was announced and aired from June 8, 2013 to March 1, 2014. An English language release of the anime was licensed by Funimation.",27
is croatia part of the european economic area,True,"As of 2014 the contracting parties to the EEA are 3 of the 4 EFTA member states and 27 of the 28 EU member states. The 28th and newest EU member, Croatia, finished negotiating their accession to the EEA in November 2013, and since 12 April 2014 is provisionally applying the agreement pending its ratification by all EEA member states.",28
can u marry a dead person in france,True,"Posthumous marriage (or necrogamy) is a marriage in which one of the participating members is deceased. It is legal in France and similar forms are practiced in Sudan and China. Since World War I, France has had hundreds of requests each year, of which many have been accepted.",29
is saline and sodium chloride the same thing,False,"Saline, also known as saline solution, is a mixture of sodium chloride in water and has a number of uses in medicine. Applied to the affected area it is used to clean wounds, help remove contact lenses, and help with dry eyes. By injection into a vein it is used to treat dehydration such as from gastroenteritis and diabetic ketoacidosis. It is also used to dilute other medications to be given by injection.",30
is there a treatment for the bubonic plague,True,"Several classes of antibiotics are effective in treating bubonic plague. These include aminoglycosides such as streptomycin and gentamicin, tetracyclines (especially doxycycline), and the fluoroquinolone ciprofloxacin. Mortality associated with treated cases of bubonic plague is about 1--15%, compared to a mortality of 40--60% in untreated cases.",31
does buffy's mom know she's a slayer,True,"The premise of the series is that Buffy is the latest Slayer, a young woman endowed by mystical forces with superhuman powers to fight and defeat vampires, demons, and other evil forces in the fictional town of Sunnydale. Like every Slayer before her, she was chosen and informed of her destiny when she was 15 years old. Her mother is unaware of her daughter's powers and responsibilities until Buffy is forced to tell her at the end of the second season of the television series. Although Joyce is shocked at this revelation, she recovers quickly and remains a source of stability for Buffy and Buffy's small circle of friends who assist her, dubbed the Scooby Gang. Eventually Joyce is able to take Buffy's dangerous demon-fighting in stride and even become proud and respectful of her daughter's abilities. Her natural death from an illness in the fifth season forces Buffy to face becoming an adult.",32
was the leaning tower of pisa built leaning,False,"The tower's tilt began during construction in the 12th century, caused by an inadequate foundation on ground too soft on one side to properly support the structure's weight. The tilt increased in the decades before the structure was completed in the 14th century. It gradually increased until the structure was stabilized (and the tilt partially corrected) by efforts in the late 20th and early 21st centuries.",33
is the movie fool's gold a true story,False,Fool's Gold is a 2008 American adventure-romance film from Warner Bros. Pictures about a recently divorced couple who rekindle their romantic life while searching for a lost treasure. The film was directed by Andy Tennant and reunites the How to Lose a Guy in 10 Days stars Matthew McConaughey and Kate Hudson.,34
has any nfl team played the superbowl at home,False,"The home field curse affects the host team of the Super Bowl. So far no team has yet managed to reach the Super Bowl in their home stadium. Four teams with Super Bowls in their home venue have qualified for the divisional playoffs: the 1994 Miami Dolphins, the 1998 Miami Dolphins, the 2016 Houston Texans, and the 2017 Minnesota Vikings, the Vikings being the first to qualify for their conference's title game. From 1966--2011 (excluding the six Super Bowl games held in a stadium without a professional team), the Super Bowl host team has had 11 winning seasons, four split seasons, and 25 losing seasons. Mathematically, the probability of that many losing seasons or more occurring by chance (assuming a 50 percent chance of having a losing season (disregarding .500 seasons)) is 7.69 percent. It should be noted, however, that the Super Bowl host stadium is selected several years before the game is played, without regard to the teams that qualify.",35
does each australian state have its own constitution,True,"In Australia, each state has its own constitution. Each state constitution preceded the Constitution of Australia as constitutions of the then separate British colonies, but all the states ceded powers to the Parliament of Australia as part of federation in 1901.",36
can you have a right and left bundle branch block,True,"A bundle branch block can be diagnosed when the duration of the QRS complex on the ECG exceeds 120 ms. A right bundle branch block typically causes prolongation of the last part of the QRS complex, and may shift the heart's electrical axis slightly to the right. The ECG will show a terminal R wave in lead V1 and a slurred S wave in lead I. Left bundle branch block widens the entire QRS, and in most cases shifts the heart's electrical axis to the left. The ECG will show a QS or rS complex in lead V1 and a monophasic R wave in lead I. Another normal finding with bundle branch block is appropriate T wave discordance. In other words, the T wave will be deflected opposite the terminal deflection of the QRS complex. Bundle branch block, especially left bundle branch block, can lead to cardiac dyssynchrony. The simultaneous occurrence of left and right bundle branch block leads to total AV block.",37
do you always have to say check in chess,False,"In informal games, it is customary to announce ``check'' when making a move that puts the opponent's king in check. In formal competitions, however, check is rarely announced.",38
is an australian shepherd the same as an australian cattle dog,False,"The Texas Heeler is a cross between the Australian Cattle Dog and the Australian Shepherd that was first registered with the Animal Research Foundation (ARF) in 1970. The ARF has registered Australian Cattle Dogs without papers as ``Australian Cattledog Queensland Heelers'' since 1965 and was the first organisation to recognise the Australian Shepherd. Although originally bred for its ability to work cattle, the Texas Heeler is increasingly used as a pet and a companion in dog sports. As with most cross breeds, the Texas Heeler's size and appearance is a variable combination of the parent breeds.",39
is tomato puree and tomato sauce the same thing,False,"Tomato purée is a thick liquid made by cooking and straining tomatoes. The difference between tomato paste, tomato purée, and tomato sauce is consistency; tomato puree has a thicker consistency and a deeper flavour than sauce.",40
is the blues brothers based on a true story,False,"The Blues Brothers are an American blues and soul revivalist band which was founded in 1978 by comedy actors Dan Aykroyd and John Belushi as part of a musical sketch on Saturday Night Live. Belushi and Aykroyd fronted the band, respectively in character as lead vocalist ``Joliet'' Jake Blues and harmonica player/vocalist Elwood Blues. The band was composed of well-known and respected musicians, and debuted as the musical guest on the April 22, 1978, episode of Saturday Night Live, opening the show performing ``Hey Bartender'', and later ``Soul Man''.",41
is newcastle upon tyne the same as newcastle,True,"Newcastle upon Tyne (locally /njuːˈkæsəl/ ( listen)), commonly known as Newcastle, is a city in Tyne and Wear, North East England, 103 miles (166 km) south of Edinburgh and 277 miles (446 km) north of London on the northern bank of the River Tyne, 8.5 mi (13.7 km) from the North Sea. Newcastle is the most populous city in the North East, and forms the core of the Tyneside conurbation, the eighth most populous urban area in the United Kingdom. Newcastle is a member of the English Core Cities Group and is a member of the Eurocities network of European cities.",42
is post office and royal mail the same,False,"The Post Office provides information on services and accepts postal items and payment on behalf of the two collection and delivery divisions of Royal Mail Group, Royal Mail and Parcelforce. These include a variety of ordinary and guaranteed services both for delivery within the United Kingdom and to international destinations. Postage stamps (including commemorative stamps and other philatelic items) are sold, while applications for redirection of mail are accepted on behalf of Royal Mail.",43
has any supreme court nominee not been confirmed,True,"Justices are nominated by the president and then confirmed by the U.S. Senate. A nomination to the Court is considered to be official when the Senate receives a signed nomination letter from the president naming the nominee, which is then entered in the Senate's record. There have been 37 unsuccessful nominations to the Supreme Court of the United States. Of these, 11 nominees were rejected in Senate roll-call votes, 11 were withdrawn by the president, and 15 lapsed at the end of a session of Congress. Six of these unsuccessful nominees were subsequently nominated and confirmed to other seats on the Court. Additionally, although confirmed, seven nominees either declined office or (in one instance) died before assuming office.",44
is thanksgiving always the last thursday of the month,True,"Thanksgiving, or Thanksgiving Day, is a public holiday celebrated on the fourth Thursday of November in the United States. It originated as a harvest festival. Thanksgiving has been celebrated nationally on and off since 1789, after Congress requested a proclamation by George Washington. It has been celebrated as a federal holiday every year since 1863, when, during the American Civil War, President Abraham Lincoln proclaimed a national day of ``Thanksgiving and Praise to our beneficent Father who dwelleth in the Heavens,'' to be celebrated on the last Thursday in November. Together with Christmas and the New Year, Thanksgiving is a part of the broader fall/winter holiday season in the U.S.",45
is lord of the rings after the hobbit,True,"The Lord of the Rings is an epic high fantasy novel written by English author and scholar J.R.R. Tolkien. The story began as a sequel to Tolkien's 1937 fantasy novel The Hobbit, but eventually developed into a much larger work. Written in stages between 1937 and 1949, The Lord of the Rings is one of the best-selling novels ever written, with over 150 million copies sold.",46
is the fallen movie going to have a sequel,False,"In December 2014, it was announced that Torment, the second installment in the Fallen book series, was in development. It is unknown whether the last two novels, Passion and Rapture, and the spin-off novel, Unforgiven, will be adapted as well. In 2017, producer Kevan Van Thompson asked the fans if they want an adaptation of ``Torment'', showing that the sequel still could be made.",47
does anyone on instagram have 1 billion followers,False,"This list contains the top 50 accounts with the most followers on the social photo-sharing platform Instagram. As of October 2018, the most followed user is Instagram's own account, with over 260 million followers. Cristiano Ronaldo is the most followed individual, with over 144 million followers. Twelve accounts have exceeded 100 million followers on the site.",48
in the phantom menace is padme the queen,True,"George Lucas, Rick McCallum, and casting director Robin Gurland auditioned over 200 actresses for the part of Padmé Amidala. They chose 16-year-old actress Natalie Portman to play the role. According to The Phantom Menace production notes, ``The role required a young woman who could be believable as the ruler of that planet, but at the same time be vulnerable and open.'' Portman's performances in The Professional (1994) and Beautiful Girls (1996) impressed Lucas. He stated, ``I was looking for someone who was young, strong, along the lines of Leia. Natalie embodied all those traits and more.''",49
is lord of the rings considered an epic,True,"The Lord of the Rings is an epic high fantasy novel written by English author and scholar J.R.R. Tolkien. The story began as a sequel to Tolkien's 1937 fantasy novel The Hobbit, but eventually developed into a much larger work. Written in stages between 1937 and 1949, The Lord of the Rings is one of the best-selling novels ever written, with over 150 million copies sold.",50
does the euro sign go before the number,True,"The euro sign (€) is the currency sign used for the euro, the official currency of the Eurozone in the European Union (EU). The design was presented to the public by the European Commission on 12 December 1996. The international three-letter code (according to ISO standard ISO 4217) for the euro is EUR. In Unicode it is encoded at U+20AC € euro sign (HTML &#8364; &euro; ). In English, the sign precedes the value (for instance, €10, not 10 €, unlike most other European languages). In some style guides, but not others, the euro sign is unspaced.",51
can stainless steel be used on induction cooktop,True,"For nearly all models of induction cooktops, a cooking vessel must be made of, or contain, a ferrous metal such as cast iron or some stainless steels. The iron in the pot concentrates the current to produce heat in the metal. If the metal is too thin, or does not provide enough resistance to current flow, heating will not be effective. Most induction tops will not heat copper or aluminum vessels because the magnetic field cannot produce a concentrated current; ``all metal'' induction tops use much higher frequencies to overcome that effect. Any vessel can be used if placed on a suitable metal disk which functions as a conventional hotplate.",52
is job termination the same as being fired,True,"``Firing'' is a common colloquial term in the English language (particularly used in the U.S.) for termination. The term ``firing'' may have been initiated in the 1910s at the National Cash Register Company. Other terms for dismissal are being ``sacked'', ``canned'', ``let go'', ``ran-off'', ``axed'', ``given walking papers'', ``given the pink slip'' or ``boned''. Other terms, more often used in Commonwealth countries, include ``to get the boot'' and ``to get the sack''.",53
does age have any influence on attentional ability or inattentional blindness,True,"In a 2015 study, Cary Stothart, Walter Boot, and Daniel Simons attempted to replicate and extend the findings from both Graham and Burke's 2011 study and Steven Most and colleague's 2000 study on Amazon Mechanical Turk using a sample of 515 participants that varied in age. In this study, participants were tasked with counting the number of times a number of white moving objects crossed the vertical midpoint of a display while ignoring a number of black moving objects. The unexpected object in this case was a gray cross that moved horizontally across the display at various distances from the vertical midpoint (this was manipulated between participants). Overall, they found that inattentional blindness susceptibility increases with age, which replicates the finding from Graham and Burke. In fact, they found that every 10 years of age was associated with a 1.3 fold increase in the probability of displaying inattentional blindness. They also found that the probability of inattentional blindness increases as the distance between the observer's focus of attention and the unexpected object increases, which replicates the finding from Most and colleagues. However, they also found that the relationship that age has with inattentional blindness does not change as a function of the unexpected object's distance from the focus of attention, suggesting that useful field of view does not mediate the relationship between age and inattentional blindness.",54
is sanskrit the first language of the world,False,Sanskrit belongs to the Indo-European family of languages. It is one of the three ancient documented languages that likely arose from a common root language now referred to as the Proto-Indo-European language:,55
is a jack russell considered a small breed,True,"The Jack Russell Terrier is a small terrier that has its origins in fox hunting. It is principally white-bodied and smooth, rough or broken-coated but can be any colour.",56
does air force one travel with fighter escort,False,"The Air Force usually does not have fighter aircraft escort the presidential aircraft over the United States but it has occurred, for example during the attack on the World Trade Center.",57
is it legal to own an ar15 in california,False,"The Roberti-Roos Assault Weapons Control Act of 1989 banned Colt AR-15 rifles by name in the State of California. California's 2000 Assault Weapons ban went further and banned AR-15s made by other manufacturers by name such as Bushmaster, PWA, and Olympic Arms.",58
is the national anthem and star spangled banner the same,True,"``The Star-Spangled Banner'' is the national anthem of the United States. The lyrics come from ``Defence of Fort M'Henry'', a poem written on September 14, 1814, by the then 35-year-old lawyer and amateur poet Francis Scott Key after witnessing the bombardment of Fort McHenry by British ships of the Royal Navy in Baltimore Harbor during the Battle of Baltimore in the War of 1812. Key was inspired by the large U.S. flag, with 15 stars and 15 stripes, known as the Star-Spangled Banner, flying triumphantly above the fort during the U.S. victory.",59
is there an international airport in naples italy,True,"Naples International Airport (IATA: NAP, ICAO: LIRN) (Italian: Aeroporto Internazionale di Napoli) is the international airport serving Naples, Italy. It is located 3.2 NM (5.9 km; 3.7 mi) north-northeast of the city in the Capodichino district of Naples. The airport has two terminal buildings: Terminal 1 is for scheduled flights and Terminal 2, located away from the airfield, is used for charter operations.",60
can you buy cadburys creme eggs all year round,False,"Creme eggs are available annually between 1 January and Easter Day. In the UK in the 1980s, Cadbury made Creme Eggs available year-round but sales dropped and they returned to seasonal availability.",61
do homologous chromosomes carry information for the same traits,True,"A couple of homologous chromosomes, or homologs, are a set of one maternal and one paternal chromosome that pair up with each other inside a cell during meiosis. Homologs have the same genes in the same loci where they provide points along each chromosome which enable a pair of chromosomes to align correctly with each other before separating during meiosis. This is the basis for Mendelian inheritance which characterizes inheritance patterns of genetic material from an organism to its offspring parent developmental cell at the given time and area.",62
has michigan ever won a national championship in football,True,"Michigan began competing in intercollegiate football in 1879. The Wolverines joined the Big Ten Conference at its inception in 1896, and other than a hiatus from 1907 to 1916, have been members since. Michigan has won or shared 42 league titles, and, since the inception of the AP Poll in 1936, has finished in the top 10 a total of 38 times. The Wolverines claim 11 national championships, most recently that of the 1997 squad voted atop the final AP Poll.",63
you can tell a lot about a person by how they treat their waiter,True,"The Waiter Rule refers to a common belief that one's true character can be gleaned from how one treats staff or service workers, such as a ``waiter''. The rule was one of William H Swanson's 33 Unwritten Rules of Management, copied from Dave Barry's version ``If someone is nice to you but rude to the waiter, they are not a nice person.''",64
are there any crocodiles native to north america,True,"Within the United States, the American crocodile's distribution is limited to the southern tip of Florida, though at least two have been found as far north as the Tampa Bay area. The current US population, estimated at 2,000, represents a significant recovery from a few hundred in the 1970s.",65
does lex luthor know who superman is in smallville,True,"Season seven displayed Lex's descent into darkness; he has a brother-like relationship with Grant Gabriel (Michael Cassidy), the new editor of the Daily Planet newest editor, until it's revealed Grant is actually a clone of Lex's late brother. After Lex buys the Daily Planet, Grant attempts to keep Lex from being controlling, thus Lex has his brother's clone murdered and staged as a failed mugging. Lex then discovers that the previous symbols are connected to the secret organization Veritas, which his father is a part of. The Veritas members learned that an alien visitor known as ``The Traveler'' would arrive in Smallville during the meteor shower of 1989. At this time, Lex realizes that Lionel has been covering up the Traveler's existence and subsequently kills his own father for it. He eventually discovers that the Veritas members knew of a means to control the Traveler, so Lex sets out to find the device. The device, an orb he finds in the mantle above a fireplace in the Luthor mansion, leads Lex to the Fortress of Solitude, where he is confronted by Clark. Having finally discovered Clark's secret, Lex uses the orb to bring down the Fortress around Clark and himself.",66
do you have to have a college degree to take the bar exam,True,"In the canonical case, lawyers seeking admission must earn a Juris Doctor degree from a law school approved by the jurisdiction, and then pass a bar exam administered by it. Typically, there is also a character and fitness evaluation, which includes a background check. However, there are exceptions to each of these requirements. A lawyer who is admitted in one state is not automatically allowed to practice in any other. Some states have reciprocal agreements that allow attorneys from other states to practice without sitting for another full bar exam; such agreements differ significantly among the states.",67
will there be a season 2 of marvel's iron fist,True,"The second season of the American web television series Iron Fist, which is based on the Marvel Comics character of the same name, follows Danny Rand / Iron Fist, a martial arts expert with the ability to call upon the power of the Iron Fist. It is set in the Marvel Cinematic Universe (MCU), sharing continuity with the films and other television series of the franchise. The season is produced by Marvel Television in association with ABC Studios, with Raven Metzner serving as showrunner.",68
is 844 a toll free number in canada,True,"In the United States of America, Canada, and other countries participating in the North American Numbering Plan, a toll-free telephone number has one of the area codes 800, 833, 844, 855, 866, 877, and 888.",69
does any other country have daylight savings time,True,"Most areas in North America and Europe, and some areas in the Middle East, observe daylight saving time (DST), while most areas of Africa and Asia do not. In South America, most countries in the north of the continent near the equator do not observe DST, while Paraguay and southern parts of Brazil do. The practice of observing daylight saving time in Oceania is also mixed, with New Zealand and parts of southeastern Australia observing DST, while most other areas do not.",70
has anyone ever pitched back to back no hitters,True,"John Samuel Vander Meer (November 2, 1914 -- October 6, 1997) was an American professional baseball player. He played in Major League Baseball as a pitcher, most notably for the Cincinnati Reds. Vander Meer is best known for being the only pitcher in Major League Baseball history to throw two consecutive no-hitters. After the impressive start to his major league career, he experienced problems controlling the accuracy of his pitching, and his later career was marked by inconsistent performances.",71
is there a black bike week in myrtle beach,True,"Black Bike Week, also called Atlantic Beach Bikefest and Black Bikers Week, is an annual motorcycle rally in the Myrtle Beach, South Carolina area, held on Memorial Day weekend. It is also sometimes called Black Fill-in-the-Blank Week, because it has evolved to attract many non-motorcycling visitors who come for music, socializing and enjoying the beach. Events include motorcycle racing, concerts, parties, and street festivals. Called a ``one-of-a-kind event'' and ``an exhibitionist's paradise'' by Jeffrey Gettleman, Black Bike Week is ``all about riding, styling and profiling,'' in the words of Mayor Irene Armstrong of Atlantic Beach, South Carolina.",72
are static shock and black lightning the same person,False,"It was recently revealed that prior to his abduction, Static teamed with Justice League member Black Lightning in order to stop former Blood Syndicate member Holocaust, who had tried to kill the superhero while he was acting as the keynote speaker at Ernest Hemingway High's senior graduation.",73
is there such a thing as unbreakable glass,True,"Unbreakable glass is glass, or glass substitute, which does not display the normal fragility of glass - in general the term is not used to refer to something that is absolutely unbreakable.",74
can liquid latex be used as an adhesive,True,"As the latex dries it becomes very sticky and will stick to itself if accidentally folded over. Most manufacturers offer a slick spray for latex once it is dry to take away the stickiness allowing the movement of the model's limbs. Alternatively, shimmer powders can be dusted over dried liquid latex to create metallic effects. One advantage to the tackiness of liquid latex is that it can act as an adhesive to attach things to the paint, such as zippers.",75
